Metabolomic Feature,Retention Time,m/z,Cluster (if DA),Putative Chemical Class,Exact Match to Standard (* = isomer family),Adduct
C18-neg_Cluster_0848,10.423924,395.189331,1,Sulfated steroids,#N/A,#N/A
C18-neg_Cluster_0859,9.128850,397.204287,1,Indolines,#N/A,#N/A
C18-neg_Cluster_0864,14.720945,397.235696,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0872,7.806421,399.184476,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0873,8.754587,399.184522,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0875,8.530651,399.220555,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0904,13.631456,405.300809,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0906,10.624440,406.263027,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0956,7.221004,413.200152,1,Benzidines,#N/A,#N/A
C18-neg_Cluster_0958,6.674671,413.200435,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0996,10.496334,419.280202,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1011,7.013089,421.259412,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1016,11.586554,422.267496,1,Acyl carnitines,#N/A,#N/A
C18-neg_Cluster_1031,18.681902,425.363878,1,Beta-diketones,#N/A,#N/A
C18-neg_Cluster_1036,7.461468,427.178882,1,Alpha amino acids,#N/A,#N/A
C18-neg_Cluster_1052,14.445272,429.173071,1,Alanine and derivatives,#N/A,#N/A
C18-neg_Cluster_1069,15.061500,431.188443,1,"Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids",#N/A,#N/A
C18-neg_Cluster_1090,11.437117,433.331681,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1092,12.741179,433.332214,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1102,10.165812,435.274943,1,Hydroxy acids and derivatives,#N/A,#N/A
C18-neg_Cluster_1105,9.464938,435.274856,1,Hydroxy acids and derivatives,#N/A,#N/A
C18-neg_Cluster_1118,8.837546,437.290752,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1126,11.293059,438.262355,1,2-acyl-sn-glycero-3-phosphoethanolamines,#N/A,#N/A
C18-neg_Cluster_1130,12.516420,438.297214,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1133,11.704305,439.246737,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1143,7.218181,441.203123,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1150,13.877387,441.300881,1,Ergostane steroids,#N/A,#N/A
C18-neg_Cluster_1169,13.909347,444.311873,1,"Amino acids, peptides, and analogues",#N/A,#N/A
C18-neg_Cluster_1173,6.336373,445.190088,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1211,17.936097,449.363478,1,"Bile acids, alcohols and derivatives",#N/A,#N/A
C18-neg_Cluster_1215,9.328992,451.217535,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1229,9.101296,451.269824,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1239,9.753391,453.231873,1,Glycosyl compounds,#N/A,#N/A
C18-neg_Cluster_1240,12.341522,453.263295,1,"5,10-cycloaromadendrane sesquiterpenoids",#N/A,#N/A
C18-neg_Cluster_1248,6.390478,453.285477,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1260,9.572103,453.285859,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1274,13.564438,455.352918,1,Triterpenoids,#N/A,#N/A
C18-neg_Cluster_1303,13.180928,461.363192,1,Stigmastanes and derivatives,#N/A,#N/A
C18-neg_Cluster_1307,12.751363,462.299116,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1328,15.270821,465.303660,1,Cholesterols and derivatives,#N/A,#N/A
C18-neg_Cluster_1337,5.810129,466.234494,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1339,13.904569,466.328267,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1348,14.681444,467.327400,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1350,10.546206,467.337416,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1357,7.243983,469.226319,1,Fatty acyl glycosides of mono- and disaccharides,#N/A,#N/A
C18-neg_Cluster_1358,9.146332,469.226476,1,Fatty acyl glycosides of mono- and disaccharides,#N/A,#N/A
C18-neg_Cluster_1359,7.486982,469.226549,1,Fatty acyl glycosides of mono- and disaccharides,#N/A,#N/A
C18-neg_Cluster_1364,11.833288,469.256462,1,1-acylglycerol-3-phosphates,#N/A,#N/A
C18-neg_Cluster_1366,7.412214,469.280396,1,Oligopeptides,#N/A,#N/A
C18-neg_Cluster_1368,13.168758,469.331635,1,Triterpenoids,#N/A,#N/A
C18-neg_Cluster_1373,12.249959,470.338168,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1374,8.278296,471.206374,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1408,15.151850,475.341500,1,"Tetrahydroxy bile acids, alcohols and derivatives",#N/A,#N/A
C18-neg_Cluster_1420,9.484333,477.321665,1,Brassinolides and derivatives,#N/A,#N/A
C18-neg_Cluster_1428,12.627147,479.301289,1,"Hydroxy bile acids, alcohols and derivatives",#N/A,#N/A
C18-neg_Cluster_1431,12.740616,479.337476,1,Brassinolides and derivatives,#N/A,#N/A
C18-neg_Cluster_1440,12.193847,480.308705,1,1-acyl-sn-glycero-3-phosphoethanolamines,#N/A,#N/A
C18-neg_Cluster_1448,12.486662,481.298728,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1453,11.318551,481.353175,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1459,9.382332,481.353409,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1460,9.478135,481.353153,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1461,9.249941,481.353018,1,"Tetrahydroxy bile acids, alcohols and derivatives",#N/A,#N/A
C18-neg_Cluster_1472,13.209928,483.272102,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1500,7.755200,487.236447,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1519,8.195902,491.208049,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1520,9.238755,491.210355,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1526,11.458806,491.337313,1,Brassinolides and derivatives,#N/A,#N/A
C18-neg_Cluster_1527,11.611793,491.337378,1,Brassinolides and derivatives,#N/A,#N/A
C18-neg_Cluster_1534,9.386896,492.333060,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1551,11.490346,495.278041,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1560,12.436069,497.257454,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1567,9.383910,497.348142,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1570,9.595469,497.348347,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1582,11.325320,499.309478,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1592,10.178703,501.321743,1,Triterpenoids,#N/A,#N/A
C18-neg_Cluster_1593,12.551195,501.319545,1,Triterpenoids,#N/A,#N/A
C18-neg_Cluster_1595,9.454196,501.322128,1,Triterpenoids,#N/A,#N/A
C18-neg_Cluster_1603,6.316681,503.337588,1,Triterpenoids,#N/A,#N/A
C18-neg_Cluster_1611,12.722077,505.301678,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1618,9.683493,506.348271,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1619,9.864746,506.348518,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1624,13.474771,507.332002,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1625,14.013385,507.332197,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1646,8.330764,510.251934,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1656,10.815947,512.298727,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1659,8.993687,513.288903,1,Triterpenoids,#N/A,#N/A
C18-neg_Cluster_1662,9.370361,513.342868,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1663,6.061162,514.254623,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1668,10.166465,515.297955,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1671,9.825372,515.304822,1,Phenylpropanes,#N/A,#N/A
C18-neg_Cluster_1706,6.824633,523.254696,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1745,7.820841,528.263628,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1760,8.501120,531.299026,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1761,8.599839,531.299069,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1766,9.302694,533.309163,1,Triterpenoids,#N/A,#N/A
C18-neg_Cluster_1768,9.824707,533.347742,1,1-acyl-sn-glycero-3-phosphocholines,#N/A,#N/A
C18-neg_Cluster_1776,7.639519,535.338073,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1780,9.709987,536.207104,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1785,7.605074,537.212272,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1795,11.173371,538.314397,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1796,10.929424,538.353268,1,1-(1Z-alkenyl)-glycero-3-phosphocholines,#N/A,#N/A
C18-neg_Cluster_1801,13.503981,539.259648,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1805,10.578946,540.262417,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1840,14.146331,547.348196,1,Long-chain fatty acids,#N/A,#N/A
C18-neg_Cluster_1854,11.720800,551.303796,1,"4,6-disubstituted 2-deoxystreptamines",#N/A,#N/A
C18-neg_Cluster_1861,9.021445,553.336225,1,Steroidal glycosides,#N/A,#N/A
C18-neg_Cluster_1865,9.617407,554.348210,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1872,18.450980,554.478209,1,Sphingolipids,#N/A,#N/A
C18-neg_Cluster_1899,7.509560,561.210964,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1900,7.753884,561.210841,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1912,12.365658,564.372132,1,Steroid esters,#N/A,#N/A
C18-neg_Cluster_1928,8.102480,569.329820,1,Terpene lactones,#N/A,#N/A
C18-neg_Cluster_1933,17.856755,570.473141,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1944,13.613863,577.236214,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1947,13.675274,577.374072,1,Steroidal saponins,#N/A,#N/A
C18-neg_Cluster_1957,17.854016,579.498171,1,"1,3-diacylglycerols",#N/A,#N/A
C18-neg_Cluster_1962,14.095119,580.397092,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1964,6.526929,581.165204,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1969,18.595541,581.514618,1,"1,3-diacylglycerols",#N/A,#N/A
C18-neg_Cluster_1970,9.238292,582.212227,1,#N/A,#N/A,#N/A
C18-neg_Cluster_1978,9.825772,583.291514,1,Oxosteroids,#N/A,#N/A
C18-neg_Cluster_1992,6.445894,587.287170,1,Tetrapyrroles and derivatives,#N/A,#N/A
C18-neg_Cluster_1993,6.519514,587.287632,1,Tetrapyrroles and derivatives,#N/A,#N/A
C18-neg_Cluster_1998,7.320366,589.171280,1,Coumarins and derivatives,#N/A,#N/A
C18-neg_Cluster_2002,6.369474,589.302345,1,Tetrapyrroles and derivatives,#N/A,#N/A
C18-neg_Cluster_2005,6.854478,589.302737,1,Tetrapyrroles and derivatives,#N/A,#N/A
C18-neg_Cluster_2019,9.513044,593.359167,1,Benzopyrans,#N/A,#N/A
C18-neg_Cluster_2020,9.079439,593.332616,1,Tetrapyrroles and derivatives,#N/A,#N/A
C18-neg_Cluster_2039,16.762976,595.420150,1,#N/A,#N/A,#N/A
C18-neg_Cluster_2052,7.896082,603.281346,1,#N/A,#N/A,#N/A
C18-neg_Cluster_2060,7.796808,605.297234,1,#N/A,#N/A,#N/A
C18-neg_Cluster_2064,18.593142,606.510151,1,#N/A,#N/A,#N/A
C18-neg_Cluster_2071,15.094933,607.420688,1,#N/A,#N/A,#N/A
C18-neg_Cluster_2075,11.911899,608.317694,1,#N/A,#N/A,#N/A
C18-neg_Cluster_2082,7.523993,609.328902,1,#N/A,#N/A,#N/A
C18-neg_Cluster_2084,7.993788,609.328544,1,Benzopyrans,#N/A,#N/A
C18-neg_Cluster_2090,8.080591,610.359474,1,#N/A,#N/A,#N/A
C18-neg_Cluster_2103,17.593863,614.499133,1,#N/A,#N/A,#N/A
C18-neg_Cluster_2119,13.518630,621.399784,1,#N/A,#N/A,#N/A
C18-neg_Cluster_2140,17.363825,626.535360,1,#N/A,#N/A,#N/A
C18-neg_Cluster_2154,8.993492,631.240398,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0016,5.472893,214.089643,1,Thiazoles,#N/A,#N/A
C8-pos_Cluster_0018,5.718100,214.089183,1,Thiazoles,#N/A,#N/A
C8-pos_Cluster_0049,4.642786,236.071823,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0050,4.762809,236.071472,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0056,6.903336,236.071474,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0058,7.725661,236.071736,1,Thiazoles,#N/A,#N/A
C8-pos_Cluster_0060,8.297206,236.071420,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0065,11.714303,236.071723,1,Thiazoles,#N/A,#N/A
C8-pos_Cluster_0092,5.296902,263.236550,1,Ketones,#N/A,#N/A
C8-pos_Cluster_0129,5.626748,283.262601,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0159,4.379853,297.242164,1,Lineolic acids and derivatives,#N/A,#N/A
C8-pos_Cluster_0167,4.616732,300.287795,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0181,4.009299,303.231636,1,Androgens and derivatives,#N/A,#N/A
C8-pos_Cluster_0204,4.918826,309.239670,1,Long-chain fatty acids,#N/A,#N/A
C8-pos_Cluster_0217,5.352596,313.249818,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0220,9.144946,313.273352,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0234,4.965895,317.178052,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0256,5.046810,323.255159,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0258,5.232728,323.254962,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0267,4.507517,325.234825,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0285,4.447892,331.260712,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0287,5.033558,331.282985,1,1-monoacylglycerols,#N/A,#N/A
C8-pos_Cluster_0289,4.615601,332.315813,1,Acyclic diterpenoids,#N/A,#N/A
C8-pos_Cluster_0297,5.133374,335.255685,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0312,4.518881,339.228446,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0344,5.263778,349.211150,1,Piperidines,#N/A,#N/A
C8-pos_Cluster_0346,4.482224,350.303238,1,Organonitrogen compounds,#N/A,#N/A
C8-pos_Cluster_0348,5.744632,350.305543,1,Organonitrogen compounds,#N/A,#N/A
C8-pos_Cluster_0363,5.542634,353.302519,1,Cholesteryl esters,#N/A,#N/A
C8-pos_Cluster_0370,7.956290,355.262453,1,Phenol ethers,#N/A,#N/A
C8-pos_Cluster_0372,3.645861,357.274534,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0377,4.952666,357.279709,1,Very long-chain fatty acids,#N/A,#N/A
C8-pos_Cluster_0389,9.251543,359.294308,1,Alkyl-phenylketones,#N/A,#N/A
C8-pos_Cluster_0409,5.683621,367.316470,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0426,12.027166,371.363777,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0439,4.295335,375.288807,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0453,6.091917,377.301938,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0460,6.708532,379.318532,1,Long-chain fatty acids,#N/A,#N/A
C8-pos_Cluster_0489,5.899393,391.315333,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0494,4.042287,393.266771,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0498,6.320730,393.333376,1,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_0518,11.823671,397.383060,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0532,3.571912,400.357454,1,Solanidines and derivatives,#N/A,#N/A
C8-pos_Cluster_0549,4.910866,405.299837,1,Sesquiterpenoids,#N/A,#N/A
C8-pos_Cluster_0553,5.626952,405.296374,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0591,4.517141,415.314884,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0596,7.519035,416.365725,1,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_0597,9.235939,416.315622,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0638,4.631363,427.357965,1,Stigmastanes and derivatives,#N/A,#N/A
C8-pos_Cluster_0641,6.074679,427.354409,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0642,6.136145,427.355785,1,Stigmastanes and derivatives,#N/A,#N/A
C8-pos_Cluster_0649,6.300288,429.372114,1,Cholesterols and derivatives,#N/A,#N/A
C8-pos_Cluster_0657,4.480924,431.312181,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0668,6.384992,433.307452,1,Triterpenoids,#N/A,#N/A
C8-pos_Cluster_0693,4.926658,439.317792,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0695,4.686549,439.356987,1,Kaurane diterpenoids,#N/A,#N/A
C8-pos_Cluster_0696,5.040083,439.356784,1,Kaurane diterpenoids,#N/A,#N/A
C8-pos_Cluster_0697,5.035344,441.297734,1,Tocotrienols,#N/A,#N/A
C8-pos_Cluster_0704,4.967917,443.340425,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0711,4.358092,445.328608,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0712,7.143975,445.365662,1,Stigmastanes and derivatives,#N/A,#N/A
C8-pos_Cluster_0721,6.661251,447.322836,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0726,6.051082,447.382979,1,"Dihydroxy bile acids, alcohols and derivatives",#N/A,#N/A
C8-pos_Cluster_0729,4.883665,449.339016,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0733,6.121205,449.325249,1,Triterpenoids,#N/A,#N/A
C8-pos_Cluster_0734,7.714521,449.357323,1,Phosphatidylethanolamines,#N/A,#N/A
C8-pos_Cluster_0735,7.349539,449.374951,1,Very long-chain fatty acids,#N/A,#N/A
C8-pos_Cluster_0748,6.378973,451.340122,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0756,6.993423,453.367253,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0785,6.975812,460.398853,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0791,4.658736,462.391879,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0802,6.953776,467.385309,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0810,5.238120,471.375084,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0820,4.115369,475.339681,1,Triterpenoids,#N/A,#N/A
C8-pos_Cluster_0821,4.217405,475.339432,1,Triterpenoids,#N/A,#N/A
C8-pos_Cluster_0841,5.070389,483.366048,1,Menthane monoterpenoids,#N/A,#N/A
C8-pos_Cluster_0842,4.044356,484.358650,1,Triterpenoids,#N/A,#N/A
C8-pos_Cluster_0846,6.862246,485.360178,1,Triterpenoids,#N/A,#N/A
C8-pos_Cluster_0855,3.777029,490.283199,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0863,7.071852,491.349516,1,Triterpenoids,#N/A,#N/A
C8-pos_Cluster_0867,7.698964,492.477525,1,Fatty acids and conjugates,#N/A,#N/A
C8-pos_Cluster_0877,4.562054,496.347880,1,Sesquiterpenoids,#N/A,#N/A
C8-pos_Cluster_0887,4.593533,499.341369,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0907,7.521037,507.402072,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0914,9.199106,509.434345,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0943,6.595868,521.406735,1,Pyrrolidines,#N/A,#N/A
C8-pos_Cluster_0956,8.029101,526.518902,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0959,7.211548,527.456922,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0962,8.296100,528.499833,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0980,8.287045,533.456885,1,#N/A,#N/A,#N/A
C8-pos_Cluster_0981,8.660883,533.455412,1,Fatty acid esters,#N/A,#N/A
C8-pos_Cluster_0986,7.742034,534.475334,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1027,7.916392,546.486196,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1031,10.103759,548.540741,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1032,7.208979,549.439073,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1033,8.284937,549.458890,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1034,8.508748,549.482992,1,Annonaceous acetogenins,#N/A,#N/A
C8-pos_Cluster_1036,7.614809,550.475101,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1041,7.194922,551.424564,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1059,7.856577,558.487024,1,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_1066,9.111944,561.485829,1,Long-chain fatty acids,#N/A,#N/A
C8-pos_Cluster_1076,7.842124,564.496242,1,Annonaceous acetogenins,#N/A,#N/A
C8-pos_Cluster_1085,6.168465,566.441642,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1092,8.184728,568.493297,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1094,4.797142,569.276422,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1095,6.635528,569.438483,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1106,6.465463,573.412915,1,Stigmastanes and derivatives,#N/A,#N/A
C8-pos_Cluster_1110,9.513827,573.509346,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1121,8.753114,577.483719,1,"1,3-diacylglycerols",#N/A,#N/A
C8-pos_Cluster_1122,9.134111,577.511811,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1131,10.807546,578.587025,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1148,4.428528,583.256093,1,Tetrapyrroles and derivatives,#N/A,#N/A
C8-pos_Cluster_1150,5.978962,583.397561,1,Long-chain fatty alcohols,#N/A,#N/A
C8-pos_Cluster_1154,8.225003,584.548536,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1167,9.242915,587.502410,1,Cinnamic acids and derivatives,#N/A,#N/A
C8-pos_Cluster_1168,9.464117,587.505550,1,Cinnamic acids and derivatives,#N/A,#N/A
C8-pos_Cluster_1176,6.623475,590.455889,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1182,3.619931,591.318200,1,Tetrapyrroles and derivatives,#N/A,#N/A
C8-pos_Cluster_1190,7.027162,592.473920,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1200,7.582882,594.486080,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1205,7.239577,595.474113,1,2-polyprenyl-6-methoxyphenols,#N/A,#N/A
C8-pos_Cluster_1211,7.297329,597.491814,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1237,12.143574,603.535464,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1239,6.930228,604.463282,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1240,7.105708,604.526147,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1243,9.828549,605.548480,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1260,6.854112,608.433038,1,Alpha amino acids,#N/A,#N/A
C8-pos_Cluster_1261,8.423508,608.503112,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1263,11.533353,608.634561,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1265,9.249867,609.521671,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1269,8.017935,610.482831,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1270,8.741459,610.517108,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1294,9.217135,617.388730,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1295,8.679396,617.515534,1,Lineolic acids and derivatives,#N/A,#N/A
C8-pos_Cluster_1297,9.240676,618.580542,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1298,9.294498,618.581069,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1299,4.471664,619.490145,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1309,4.210452,621.554502,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1315,9.177066,623.509831,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1317,9.065107,624.545030,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1321,7.701699,625.540772,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1337,8.198433,629.512928,1,"1,3-diacylglycerols",#N/A,#N/A
C8-pos_Cluster_1338,8.085229,630.509077,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1339,8.672238,630.540712,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1350,7.264076,634.429525,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1354,8.089312,635.465922,1,Other hydroxyeicosapolyenoic acids,#N/A,#N/A
C8-pos_Cluster_1357,11.184725,635.573487,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1372,7.795767,641.505473,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1385,10.742247,645.557835,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1410,8.081146,651.444206,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1411,8.194944,651.493570,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1417,8.193463,653.529095,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1418,8.402681,653.459261,1,Terpene glycosides,#N/A,#N/A
C8-pos_Cluster_1420,10.014679,653.565987,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1446,8.306719,659.551592,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1447,8.364257,659.514232,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1450,11.844986,659.574540,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1461,8.677909,663.501831,1,"1,2-diacylglycerols",#N/A,#N/A
C8-pos_Cluster_1463,11.089575,663.568973,1,Cholesteryl esters,#N/A,#N/A
C8-pos_Cluster_1488,7.603892,668.524332,1,"1,3-diacylglycerols",#N/A,#N/A
C8-pos_Cluster_1491,9.131286,669.532014,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1496,7.475985,670.538819,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1500,8.254289,670.543428,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1511,8.627143,672.555818,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1523,9.974490,675.574428,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1530,7.995827,677.511824,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1547,11.722118,680.631783,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1551,9.265584,681.541428,1,"1,3-diacylglycerols",#N/A,#N/A
C8-pos_Cluster_1557,9.400685,682.618884,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1562,12.252638,682.649731,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1563,8.848889,683.488013,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1586,7.794261,689.559431,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1587,8.896162,689.514885,1,"1,3-diacylglycerols",#N/A,#N/A
C8-pos_Cluster_1594,7.321455,690.566734,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1595,7.486072,690.566324,1,#N/A,#N/A,#N/A
C8-pos_Cluster_1628,8.493429,696.559030,1,#N/A,#N/A,#N/A
