# Feature / Sample,PRISM|7122,PRISM|7147,PRISM|7150,PRISM|7153,PRISM|7184,PRISM|7238,PRISM|7406,PRISM|7408,PRISM|7421,PRISM|7445,PRISM|7486,PRISM|7496,PRISM|7506,PRISM|7547,PRISM|7658,PRISM|7662,PRISM|7744,PRISM|7759,PRISM|7762,PRISM|7776,PRISM|7791,PRISM|7843,PRISM|7847,PRISM|7852,PRISM|7855,PRISM|7858,PRISM|7860,PRISM|7861,PRISM|7862,PRISM|7870,PRISM|7874,PRISM|7875,PRISM|7879,PRISM|7897,PRISM|7899,PRISM|7904,PRISM|7906,PRISM|7908,PRISM|7909,PRISM|7910,PRISM|7911,PRISM|7912,PRISM|7938,PRISM|7941,PRISM|7947,PRISM|7948,PRISM|7955,PRISM|7971,PRISM|7989,PRISM|8095,PRISM|8096,PRISM|8101,PRISM|8106,PRISM|8129,PRISM|8226,PRISM|8244,PRISM|8264,PRISM|8275,PRISM|8283,PRISM|8332,PRISM|8336,PRISM|8361,PRISM|8374,PRISM|8377,PRISM|8406,PRISM|8441,PRISM|8444,PRISM|8447,PRISM|8452,PRISM|8458,PRISM|8462,PRISM|8464,PRISM|8466,PRISM|8467,PRISM|8475,PRISM|8480,PRISM|8483,PRISM|8485,PRISM|8496,PRISM|8502,PRISM|8503,PRISM|8511,PRISM|8513,PRISM|8515,PRISM|8523,PRISM|8534,PRISM|8537,PRISM|8550,PRISM|8564,PRISM|8565,PRISM|8573,PRISM|8577,PRISM|8589,PRISM|8591,PRISM|8592,PRISM|8605,PRISM|8624,PRISM|8628,PRISM|8629,PRISM|8667,PRISM|8675,PRISM|8683,PRISM|8692,PRISM|8696,PRISM|8728,PRISM|8734,PRISM|8735,PRISM|8746,PRISM|8749,PRISM|8753,PRISM|8754,PRISM|8758,PRISM|8764,PRISM|8765,PRISM|8774,PRISM|8776,PRISM|8778,PRISM|8783,PRISM|8784,PRISM|8785,PRISM|8788,PRISM|8789,PRISM|8794,PRISM|8795,PRISM|8800,PRISM|8802,PRISM|8803,PRISM|8805,PRISM|8806,PRISM|8807,PRISM|8809,PRISM|8815,PRISM|8841,PRISM|8843,PRISM|8844,PRISM|8846,PRISM|8847,PRISM|8849,PRISM|8878,PRISM|8882,PRISM|8892,PRISM|8894,PRISM|8898,PRISM|8924,PRISM|8932,PRISM|8982,PRISM|8998,PRISM|9010,PRISM|9018,PRISM|9030,PRISM|9033,PRISM|9074,PRISM|9079,PRISM|9126,PRISM|9148,Validation|LLDeep_0001,Validation|LLDeep_0003,Validation|LLDeep_0010,Validation|LLDeep_0011,Validation|LLDeep_0012,Validation|LLDeep_0015,Validation|LLDeep_0018,Validation|LLDeep_0021,Validation|LLDeep_0022,Validation|LLDeep_0024,Validation|LLDeep_0026,Validation|LLDeep_0027,Validation|LLDeep_0028,Validation|LLDeep_0029,Validation|LLDeep_0030,Validation|LLDeep_0033,Validation|LLDeep_0034,Validation|LLDeep_0037,Validation|LLDeep_0039,Validation|LLDeep_0043,Validation|LLDeep_0047,Validation|LLDeep_0052,Validation|UMCGIBD00072,Validation|UMCGIBD00122,Validation|UMCGIBD00030,Validation|UMCGIBD00167,Validation|UMCGIBD00208,Validation|UMCGIBD00032,Validation|UMCGIBD00529,Validation|UMCGIBD00371,Validation|UMCGIBD00145,Validation|UMCGIBD00613,Validation|UMCGIBD00004,Validation|UMCGIBD00053,Validation|UMCGIBD00269,Validation|UMCGIBD00250,Validation|UMCGIBD00327,Validation|UMCGIBD00249,Validation|UMCGIBD00461,Validation|UMCGIBD00266,Validation|UMCGIBD00347,Validation|UMCGIBD00645,Validation|UMCGIBD00361,Validation|UMCGIBD00485,Validation|UMCGIBD00041,Validation|UMCGIBD00126,Validation|UMCGIBD00082,Validation|UMCGIBD00442,Validation|UMCGIBD00412,Validation|UMCGIBD00539,Validation|UMCGIBD00077,Validation|UMCGIBD00141,Validation|UMCGIBD00389,Validation|UMCGIBD00112,Validation|UMCGIBD00508,Validation|UMCGIBD00588,Validation|UMCGIBD00106,Validation|UMCGIBD00393,Validation|UMCGIBD00458,Validation|UMCGIBD00254,Validation|UMCGIBD00593,Validation|UMCGIBD00233,Validation|UMCGIBD00238,Validation|UMCGIBD00027,Validation|UMCGIBD00064
SRA_metagenome_name,G36386,G48796,G48780,G36390,G36356,G36387,G48804,G48815,G36378,G36381,G36379,G72672,G48799,G48823,G36351,G72717,G36371,G36380,G72673,G72674,G36368,G36369,G72718,G72675,G72719,G72720,G72721,G72722,G72723,G72724,G72725,G36348,G72726,G72676,G72727,G72733,G72734,G72728,G72729,G72735,G72730,G72731,G36382,G36349,G36374,G36350,G72732,G36347,G36383,G36370,G72677,G72678,G72679,G72680,G36389,G48787,G36384,G48781,G48798,G48783,G36385,G36392,G36357,G36372,G48827,G72681,G72682,G72683,G36354,G72684,G36352,G72685,G36365,G36353,G36355,G72686,G36394,G36366,G36358,G72687,G72688,G72689,G72690,G72691,G36360,G36361,G35127,G36359,G36362,G48806,G36367,G35128,G72714,G36363,G36395,G72692,G36375,G72693,G36396,G72694,G35152,G72715,G72695,G72696,G48791,G48784,G48840,G48805,G48820,G48777,G48789,G48786,G48792,G48790,G48831,G48793,G48794,G48795,G48826,G48802,G48808,G72716,G48807,G72697,G48810,G48817,G48812,G48814,G48819,G48841,G48822,G48821,G48842,G48839,G72698,G48832,G48838,G48836,G72671,G72699,G72670,G72701,G72702,G72703,G72704,G72705,G72713,G72706,G72708,G72709,G72710,G72711,G72712,G72736,G72737,G83321,G83168,G83192,G82952,G82627,G83955,G83885,G84147,G83001,G83234,G82738,G83335,G82708,G83327,G82698,G83913,G82666,G82589,G82786,G83901,G83831,G84104,G85420,G85171,G85128,G85127,G85384,G85185,G85117,G85182,G85404,G85246,G85364,G85199,G85379,G85129,G85089,G85161,G85315,G85361,G85165,G85245,G85291,G85408,G85226,G85180,G85387,G85230,G85401,G85373,G85163,G85369,G85385,G85213,G85181,G85257,G85419,G85340,G85418,G85122,G85136,G85405,G85166,G85210,G85342
Eubacterium_rectale,0.0003427,0.220046,0.0139978,0.385641,0.0002417,0.0074842,0.0001639,0.0120746,0.291207,0.0014193,0.305912,0,0.0001599,0.0002141,0.26208,0.0852604,0.288153,0.0398594,0.15767,0.0818763,0.0059962,0.0000842,0.14003,0.100854,0.0892802,0.0423179,0.154079,0.226137,0.269543,0.0964448,0.0819939,0.0097712,0.0379606,0.0275713,0.165785,0.244951,0.0691267,0.357922,0.0557286,0.248052,0.096422,0.106414,0.151861,0.0002484,0.0001535,0.174173,0.273881,0.0000701,0.0005232,0.000271,0.282863,0.0000317,0.0000275,0.265323,0.0006061,0.0573006,0.0016964,0.0013178,0.0961386,0.20932,0.0001012,0.35716,0.0001801,0.0002704,0.332062,0.0243805,0.0156543,0.0712522,0.0098664,0.0005281,0.0002712,0.0000059,0.170863,0.0644872,0.0149821,0.0018575,0.0002754,0.0003056,0.000339,0.0023062,0.0711675,0.0000086,0.0019783,0.0003491,0.0018685,0.0000968,0.0000371,0.0005358,0.0003688,0.0011999,0.0057659,0.0837525,0.0357338,0.0002495,0.217345,0.0901898,0.0004316,0.0001723,0.000185,0.000037,0.0000652,0.409799,0.118883,0.166064,0.0855786,0.0743876,0.0078725,0.0001425,0.0002269,0.158236,0.0460312,0.0001051,0.013843,0.0273693,0.135322,0.120488,0.0211601,0.0552709,0.196536,0.0105001,0.14857,0.0133647,0.48379,0.246926,0.337489,0.0004243,0.0002321,0.0003592,0.000107,0.0001604,0.0001377,0.0001301,0.03183,0.0005535,0.0000613,0.235228,0.0001822,0.0001449,0.0447509,0.103362,0.0000259,0.0049281,0.0079846,0.0014384,0.0000219,0.0014446,0.0000302,0.0666535,0.120281,0.0000067,0.0627642,0.0000432,0.107093,0.0380024,0.0000861,0.151892,0.0191138,0,0.0001932,0.104451,0.0372845,0.0010831,0.0036067,0.0585348,0.000347,0.231416,0.365297,0.0317542,0.267782,0.108708,0.0020806,0.053396,0.0160255,0.0531866,0.0227242,0.131053,0.0192863,0.214591,0.105104,0.0831424,0.150105,0.0241525,0.176165,0.114724,0,0.0000464,0.0578854,0.0443663,0.0361909,0,0,0.21556,0.0419099,0,0.0324402,0.0004997,0.113453,0.0798867,0.0007204,0,0.0027384,0,0.0067605,0.136174,0.0601556,0,0.008623,0.149203,0.167993,0.0070597,0.0955797,0.230796,0.0982952,0.0000269,0.0441268,0,0.0526573,0.0220703,0.109263,0.344243
Eubacterium_siraeum,0,0.000689,0.0000546,0,0,0,0.0000053,0.0000165,0,0,0,0,0.0026842,0.0000049,0.0002386,0,0,0,0,0,0,0,0.0020108,0.0004124,0.0003382,0.0026086,0,0.0067611,0.0007119,0.0000926,0.0009626,0,0.0000345,0.0000203,0.000262,0,0,0.0000779,0.0000748,0,0.0000456,0.0001292,0,0,0,0,0.0003798,0,0,0,0,0.220747,0,0,0,0.0008267,0,0.0001283,0.0000725,0.0788941,0,0,0,0,0.0132497,0.0064673,0.0000217,0.0412137,0,0,0,0,0,0,0,0,0,0,0,0,0.0586581,0,0.0413543,0,0,0,0,0,0,0.0000714,0,0.0003871,0,0,0,0,0,0.0161797,0,0,0,0,0.0006642,0,0.19977,0.0033403,0.000027,0.0000044,0.0000094,0.0000131,0.0008193,0,0.101164,0.0004158,0.0000076,0.000239,0.0166287,0.0000045,0.0359201,0.0000056,0.0000449,0.0000714,0.0000143,0,0.0000036,0.201688,0.0094995,0.000025,0.0000099,0.000005,0.0000078,0.0000136,0.0000083,0.0000054,0,0.0000096,0.0000058,0.0000083,0,0,0,0.025327,0,0.0010104,0,0,0,0.0429578,0,0,0,0,0.0002227,0,0.0006466,0.209564,0,0,0,0,0.0012605,0.000291,0.0161887,0.0028986,0,0,0.0028905,0.0106212,0.0030094,0,0.0044977,0.0003913,0.0051902,0,0,0,0.0040831,0,0,0,0.0164333,0.0553439,0,0.001587,0.0036732,0,0.0418632,0,0,0,0,0.0001929,0.0005644,0,0,0.0027294,0,0,0,0,0,0,0,0.0001149,0.000343,0,0,0,0,0,0.0055446,0,0.0015482,0,0,0,0,0,0,0
Eubacterium_sp_3_1_31,0.0030327,0.0008812,0,0.0000874,0.0000055,0,0,0,0.0009274,0,0.0004013,0.0000784,0.0005597,0.0007616,0,0,0,0.0000034,0,0,0.0164901,0,0,0,0.0005376,0.0002483,0.0000048,0.0004218,0,0.0018352,0.0000276,0.0043476,0,0,0.0000215,0,0.002569,0,0,0,0,0,0,0,0,0.0011987,0,0,0,0,0.0005889,0,0,0,0,0.002901,0,0,0,0.0000519,0,0.0002579,0,0,0,0.0000111,0,0,0,0.0496805,0,0,0.0007477,0,0,0,0,0,0.132512,0.0082816,0.0006647,0.0106798,0.0002633,0.000091,0.0870675,0,0,0,0.0019212,0,0.0003345,0.0000121,0.0000145,0.0258833,0.0000225,0.0001296,0.0198245,0.0000467,0,0,0.0456502,0,0.0007949,0.0005801,0.0000134,0.0006468,0,0,0,0.0001641,0.0000084,0,0,0,0.0001101,0,0.0000339,0,0.0006875,0,0,0,0.0010914,0.0040807,0.0000228,0,0.0037716,0,0,0,0,0,0,0,0,0.007329,0.0004757,0,0,0,0,0.0001502,0,0.0001149,0,0.0024633,0.0047007,0.0002673,0,0.0137511,0,0.291608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium_ventriosum,0,0.0033917,0.0000179,0.0083762,0,0,0,0,0,0,0.0083537,0,0.0000053,0.0006386,0.0041735,0.0033513,0,0,0,0,0.0008626,0,0.0117596,0.0000122,0,0.0009356,0,0.0044782,0.0066834,0.0005421,0.0012582,0,0,0.0026265,0.0005772,0.0062369,0.0144711,0,0.007939,0.0019069,0,0.0021943,0,0,0,0,0.0042937,0,0,0,0,0.005842,0,0,0,0,0,0,0.0010596,0.0032942,0,0,0,0,0.0000008,0.0000181,0.0009628,0.014859,0,0,0,0,0,0,0.0018665,0,0,0,0,0,0,0,0.0025512,0,0,0,0,0,0,0,0,0.0031401,0.0000143,0,0,0,0,0.0019847,0,0,0,0,0.003488,0,0.0049667,0.0159348,0,0,0,0,0.0042631,0,0.0002696,0.0002145,0.0090517,0.000133,0.0046913,0,0.0057849,0,0.0010708,0.0035653,0.0098905,0,0,0,0,0,0,0,0,0,0.0001854,0,0,0,0,0,0,0,0,0.0045209,0.0046535,0,0,0.0005353,0,0.0020114,0.0024749,0,0,0,0.0044066,0.0048777,0,0.0020322,0.0004255,0,0.0029296,0.0063123,0.0001763,0.0068958,0.0086736,0.0023146,0,0.0041542,0,0.0005076,0,0.0057346,0.0002474,0.0024404,0.0006067,0,0.0002491,0.0002953,0.0000103,0,0.0089446,0,0,0.0014647,0.0000073,0.0018017,0,0,0,0,0.0110534,0,0,0.002522,0.0076044,0,0.0017921,0.0021943,0.0075331,0,0,0,0,0,0,0.0026936,0,0.0099558,0.0234451,0.0018223,0,0,0.0002114,0.0033943,0.0001517,0.0012305,0,0,0,0.0064566,0,0
Anaerostipes_caccae,0.0000212,0,0.0002093,0,0,0,0,0,0,0,0,0,0,0,0.0000169,0,0,0.0000859,0,0,0,0,0,0,0.0001857,0.0002161,0,0,0,0,0.0000699,0,0,0,0,0,0,0,0,0,0.0003891,0,0,0.0000392,0,0.0007969,0,0,0,0,0,0,0.0008569,0,0,0.0003058,0,0.0000221,0,0.0000197,0,0.0037749,0.0036789,0.0000661,0.0000163,0,0,0,0,0,0,0.0010531,0,0,0,0,0.0000189,0,0.000032,0,0,0.0001244,0,0,0,0,0.0018885,0,0,0,0,0,0,0.0002773,0,0,0.000192,0,0,0,0,0,0,0,0.0000061,0,0,0,0,0,0,0.0014351,0,0,0,0,0,0,0.0000831,0.0001454,0,0,0.0002702,0,0,0,0,0,0,0.0004718,0,0.0000099,0,0,0,0.0000045,0,0,0,0,0,0,0,0,0.0018287,0,0,0,0,0,0,0.0000294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes_hadrus,0,0.0029855,0.0000372,0.0017112,0.0002124,0,0,0.0000481,0.0006817,0.157742,0.0172401,0.0050299,0,0.000643,0.0121691,0.0007164,0.0009099,0.0006503,0.0001733,0.0019123,0.0000095,0,0.0002255,0.0026944,0.0069429,0.0013121,0.0157689,0.001719,0.0003613,0.0005212,0.0001408,0.0001632,0.0018666,0.001506,0.0012086,0.001223,0.028121,0.0057434,0.0039002,0.0016137,0.0002215,0.0009334,0.0005107,0.0001982,0,0.0009364,0.0001396,0,0,0,0.0015038,0.0001129,0,0.0064245,0,0.0016284,0,0.0000432,0.0014219,0.0000557,0,0,0,0.0001348,0,0.0022486,0.0141026,0.0001938,0,0.0001235,0.0013673,0,0.0005756,0.0014222,0.0015527,0,0,0,0,0,0.0023602,0,0.0005138,0.0022304,0.0004883,0,0,0,0.0172386,0,0.0016913,0.0001697,0.0103236,0,0.0030378,0.0017747,0,0.0012267,0,0,0.0000292,0.0001619,0,0.0084154,0.0001507,0.0000051,0.0022529,0,0,0.0000126,0.0020157,0,0.0006378,0.0003675,0.0000161,0.0007109,0.0006367,0.0013739,0.0000322,0.0012996,0.0009449,0.0007665,0.0039513,0.0013353,0.0033075,0,0.0056536,0.0019938,0,0,0,0,0.0005404,0.0000289,0,0.0044063,0,0,0.0001476,0.0142425,0.0033179,0.0008636,0.0000181,0.000054,0,0.0000092,0.0006202,0.0013867,0.0057268,0,0,0.0007317,0.0000622,0.0084745,0,0.0018841,0.0055523,0,0.0077114,0.0109619,0.0015174,0.0012952,0.0047261,0.0002125,0.0057401,0.0009702,0.0064517,0.000127,0.000398,0.0005358,0.0006757,0.001266,0.0012339,0.0331417,0.0000817,0.0114042,0.0029034,0.0007715,0.0011236,0.0001837,0,0.0011462,0.0010463,0.0014831,0.0012906,0,0.0001226,0.0012443,0.0017696,0.0018594,0,0.0011434,0.010402,0,0.0033575,0,0.0001527,0.0093388,0,0,0.0062558,0.0005198,0.0003035,0.0014603,0.0073607,0.0002939,0.0088959,0.0001468,0.0000162,0.0000186,0,0.000829,0.0035838,0.0015633,0,0,0.0022363,0.0015357,0.0007597,0.0007565
Anaerostipes_unclassified,0.0094473,0,0,0,0.0004133,0,0,0.0000303,0,0,0,0,0,0,0,0,0,0.0006714,0.0004862,0,0.0107811,0,0,0,0,0,0,0,0,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006543,0.0046663,0.0040386,0,0,0,0,0,0,0.0043818,0,0,0,0,0.0005996,0,0,0,0.0002532,0.0074744,0.0007646,0.0009536,0,0,0,0,0.0028865,0,0.0026225,0,0,0,0,0.0001218,0.0000071,0.0017652,0.0003865,0,0.106762,0,0,0,0,0.160776,0.0002449,0,0,0,0,0,0.0170025,0,0,0.0034473,0,0,0.001738,0.0008279,0,0,0,0,0.00014,0,0,0.0000458,0,0,0.0074694,0,0,0,0,0,0,0.0000016,0,0,0,0,0,0,0.0012481,0,0,0,0.0012584,0,0.0005734,0,0,0,0,0.0009918,0,0,0,0,0,0,0.0019571,0.0073915,0,0,0,0,0.0004334,0,0.0004004,0,0,0,0,0,0.0083289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027843,0.0284837,0,0,0,0,0,0,0,0,0,0,0,0,0.0010607,0,0,0.0008118,0,0,0,0.0004373,0,0,0.00043,0,0,0.0112703,0,0.0007404,0,0,0,0,0,0
Blautia_hansenii,0,0,0,0.0000919,0,0.0017311,0,0.000764,0.0000718,0.0067143,0.0000054,0.0002971,0,0,0,0,0,0,0,0.0000549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000059,0,0,0.0006215,0,0,0,0,0,0,0.0016083,0,0,0.0000559,0,0,0,0,0,0,0,0,0.0000324,0,0,0,0,0,0.0003664,0,0.0000531,0,0,0,0,0,0.0001524,0,0,0,0,0,0,0,0.0000382,0.0001297,0.0098958,0,0,0,0,0,0.0001498,0,0,0,0,0.0011618,0.0037476,0,0,0,0,0.0000575,0,0,0,0,0,0,0,0,0,0,0,0.0000243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000058,0,0,0.0000816,0.0000571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_hydrogenotrophica,0.0141988,0.0045745,0.0271556,0,0,0,0,0,0,0,0.000928,0,0.0020602,0.008833,0.0000787,0.0022662,0,0,0,0.0022324,0,0,0,0.0007693,0,0.0012314,0,0.0024739,0,0,0.0006391,0,0.0000639,0.0001025,0,0,0.0018441,0,0,0.0004471,0,0,0,0,0,0,0.0000348,0,0,0,0,0,0,0,0,0.0003801,0,0.0041176,0.0033449,0.0065952,0,0,0,0,0.0008973,0,0,0.0009608,0,0,0.0097308,0,0.0030705,0,0,0,0,0,0.0104229,0,0.0002944,0,0,0.0327461,0,0,0,0,0,0,0,0.0016137,0.0001899,0.0199453,0,0,0,0.0077249,0,0,0,0,0.0001528,0,0.0001149,0,0,0,0,0,0.0001102,0,0,0,0.0001856,0,0.0000129,0,0.001422,0.0001947,0,0,0,0,0.0012956,0.0001571,0.0127073,0.0000101,0,0,0,0,0,0.0000903,0,0,0.0035818,0,0,0,0,0,0,0,0,0.0009565,0,0,0,0,0,0,0,0.0004016,0.0007456,0,0,0,0,0.0008456,0,0,0,0,0.0000961,0,0,0,0.0003888,0,0.0000477,0,0,0,0,0,0.0000607,0,0.0038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270267,0,0,0,0,0,0,0,0,0,0,0.0096341,0,0,0,0.0041177,0,0.0002159,0,0,0,0,0,0.0021867,0.0040199,0,0,0.0106419
Blautia_producta,0.0020042,0.0001791,0.0004974,0.0001329,0.0012766,0.0028402,0,0.0007089,0.0009369,0,0,0.0001323,0.0000357,0.0011373,0.0000273,0,0,0.0017917,0.0014448,0.0001675,0.0005142,0,0,0,0,0.000086,0.0001118,0,0,0,0,0,0,0,0,0,0.0000231,0,0,0,0.000202,0,0.0016327,0.0097472,0.0009818,0.0015679,0,0,0,0,0.0001354,0,0.0054436,0,0,0.000048,0,0.0000018,0.0000356,0,0,0.0000555,0.0002423,0.000128,0.0001713,0,0,0,0,0.0005827,0.0001985,0.0351559,0,0.0000743,0,0,0.0000397,0.0009743,0.0008335,0,0,0.005787,0.0000288,0.0008225,0.0008054,0,0.0140945,0.0060596,0.0012835,0.0787271,0.0001546,0,0,0.0062746,0.0006061,0,0.001022,0.0000309,0,0.0020835,0.0008935,0,0,0.0005179,0.0000348,0.0005086,0.0001442,0,0.000172,0.0001735,0,0,0,0,0.0000722,0,0,0.003331,0.0000438,0,0,0,0.0000583,0.0006363,0.0000124,0.0012441,0.0005133,0.0025973,0,0.0081268,0,0.0002723,0,0.0000688,0,0.0023691,0.0010175,0,0.0008103,0,0.0000612,0,0,0,0,0,0.00047,0,0,0.0003806,0,0.0142808,0,0,0,0,0,0.0025623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010061,0,0,0,0,0,0,0,0,0.0002213,0.0011448,0.0018291,0,0,0,0.0008964,0,0.000323,0,0,0,0,0,0,0,0.0000329,0.0018588,0.0028571,0.0004924,0,0.0000259,0.0000873,0.0000102,0,0,0,0,0,0.0002573,0.0010364,0,0,0,0,0,0.0001596,0.0005787
Ruminococcus_gnavus,0.0111296,0.0008014,0.0006273,0.0080567,0.0008606,0.0343265,0.560321,0.0486179,0.0120262,0.0546121,0.0042073,0.0019268,0.0004791,0.0015521,0.0007415,0.0001694,0.0001437,0.0050978,0.0033112,0.0148443,0.0015844,0.0013954,0.0016925,0.002214,0.0011948,0.0001162,0.0105942,0.0202201,0.0002003,0.0251492,0.0002457,0.171619,0.0000735,0.0002639,0.0004109,0.0113425,0.0001401,0.0010826,0.0000577,0,0.154099,0,0.0270068,0.337331,0.0054477,0.0076232,0,0.0000454,0.244694,0.0384324,0.0009015,0.0058954,0.418136,0.0059986,0.104825,0.0024913,0.0003725,0.0136836,0.0050071,0.000218,0.0000414,0.0128227,0.0872806,0.130808,0.0120201,0.0013975,0.0001458,0,0.00224,0.0188491,0.0024424,0.657193,0.0024761,0.0063384,0.0071122,0,0.075678,0.0029237,0.0410639,0.0057184,0,0.118964,0,0.0005596,0.0335148,0.0572795,0.17685,0.0001436,0.0806542,0.0005211,0.0010326,0.0001813,0.0018845,0.103298,0.0002199,0.0068143,0.11925,0.0000873,0.0000891,0.007795,0.201146,0,0,0.0012262,0.0000719,0.0003176,0.0002288,0.0000643,0.0314629,0.0407886,0.0000914,0.107747,0.0001703,0.000135,0.0035981,0.0002097,0.0002108,0.0607227,0.0005092,0.0001559,0.0001733,0.0000173,0.0058419,0.014299,0.0030588,0.0654765,0.000105,0.0036768,0.0000517,0.212568,0.156061,0.512919,0.0685095,0.0065822,0.0000656,0.0662227,0.0837655,0.0000409,0.0124807,0.0549963,0.0117805,0.0018345,0.0114991,0.0008237,0,0.0017977,0.004525,0,0,0.057081,0.0000475,0.0222734,0.0006751,0.0023964,0.0284866,0,0,0.0030496,0,0.0003133,0,0,0,0,0.0001568,0.0042381,0.0022092,0.188456,0,0,0,0,0,0.0854102,0,0,0.0047672,0.0373983,0,0.0337761,0,0,0.0607906,0.0033325,0.0099473,0.177207,0,0.0001292,0.0241421,0,0.0014479,0.0002755,0.0067259,0.0002003,0.0027899,0,0.0009789,0.0029803,0.0008725,0.28326,0.0395518,0.0164865,0.0013258,0.0005161,0.0002508,0.0303132,0,0.0004176,0.0116595,0.0006893,0,0.0213836,0.0336078,0,0,0.0006176,0.001045,0.03893,0.0031307,0.0327219
Ruminococcus_obeum,0.0007975,0.0135182,0.0097984,0.0014676,0.0025278,0.0000365,0.0000105,0.0005747,0.0001338,0.0012487,0.0423756,0.0125657,0.0202057,0.0389853,0.009594,0.010519,0.0126257,0.0001246,0.0089796,0.0118191,0.0021878,0.0000588,0.0136644,0.0206537,0.0108105,0.0051817,0.0014734,0.0183177,0.0550706,0.002248,0.0157693,0,0.0189143,0.0046355,0.0141558,0.0072803,0.0232841,0.0152439,0.0267496,0.0162137,0.0201623,0.0080291,0.0020081,0.0000092,0.0000462,0.0279245,0.0067609,0,0,0,0.0120883,0.0002535,0.0000246,0.0092881,0.0009259,0.0033926,0,0.0021269,0.0071575,0.0226898,0,0.0004367,0,0.0001402,0.0108651,0.0179812,0.0207384,0.0140634,0.0001136,0.0071864,0.002612,0.000024,0.0012602,0.0222947,0.0016229,0,0.0006749,0.0000452,0.0012837,0,0.0154336,0.0000025,0.0088874,0.0002546,0.0001082,0,0.0000884,0.0002494,0.0142701,0.0001643,0.0084726,0.0209922,0.0235745,0.0099199,0.0269259,0.0116011,0.000063,0.0394147,0,0.0000216,0.0001268,0.003092,0.0091096,0.0100788,0.0013023,0.0001759,0.0203683,0.0000395,0.000053,0.0004653,0.0126015,0,0.0024842,0.0078397,0.019436,0.002425,0.0008931,0.0003255,0.0012179,0.0036711,0.0064455,0.0107124,0.0091329,0.0007175,0.0021045,0.0000392,0.050424,0.0001691,0.0000118,0.0000581,0.0000213,0.000022,0.0006248,0.0010335,0.0000599,0.0004641,0.0178781,0.000018,0.0023995,0.0004265,0.0000177,0.002902,0.0020911,0.0115425,0.0352221,0.0202136,0.0011813,0.0087747,0.013978,0.0017654,0.0022174,0.0000162,0.0081399,0.0149757,0.0061116,0.0140995,0.0199182,0.0032101,0.0176634,0.0353763,0.0187965,0.0170126,0.0109907,0.0230425,0.0240965,0.0464018,0.0212664,0.0071427,0.0057441,0.0349007,0.0025932,0.0224883,0.0094311,0.0126878,0.0142886,0.0160361,0.0398225,0.0019754,0.0109371,0.0111451,0.0184959,0.0090107,0.033016,0.0201089,0.0006546,0,0.0190186,0.0160358,0.0002785,0.0095852,0.0844175,0.0242287,0.0629157,0,0.0061412,0.0126037,0.0001826,0.0282983,0.0005478,0.0006607,0.000469,0.0070036,0.0596481,0.0269874,0.0065481,0.0153777,0.0076871,0.0045411,0.0030279,0.031699,0.0199888,0.0028717,0.0024982,0.0299407,0,0.0001538,0.006784,0.0304205,0.0044313,0.0031327
